Field characteristic;Edwards Curve P_x;Edwards Curve P_y;Edwards Curve Point Order;Montgomery Curve P_x;Montgomery Curve P_y;Montgomery Curve Point Order
4519;13;652;4520;6;1035;4520
4523;11;2232;4524;7;316;4524
4547;2;965;4548;5;2214;4548
4567;3;1181;4568;3;438;4568
4583;3;527;4584;5;598;4584
4591;15;892;4592;15;1027;4592
4603;5;1455;4604;2;96;4604
4639;6;1155;4640;6;657;4640
4643;6;154;4644;2;1049;4644
4651;5;223;4652;3;1683;4652
4663;3;2082;4664;12;2232;4664
4679;17;1603;4680;11;921;4680
4691;16;1793;4692;7;71;4692
4703;2;1121;4704;15;1075;4704
4723;4;422;4724;2;1003;4724
4751;5;1851;4752;26;90;4752
4759;10;1968;4760;6;539;4760
4783;3;1110;4784;3;1454;4784
4787;2;1128;4788;5;867;4788
4799;4;1996;4800;22;1465;4800
4831;9;561;4832;12;540;4832
4871;15;45;4872;23;1580;4872
4903;3;941;4904;3;1550;4904
4919;5;1603;4920;13;478;4920
4931;7;1049;4932;10;872;4932
4943;2;853;4944;11;679;4944
4951;12;1780;4952;11;1968;4952
4967;2;649;4968;10;2385;4968
4987;4;1438;4988;11;215;4988
4999;9;2325;5000;12;311;5000
5003;2;2108;5004;6;1941;5004
5011;8;784;5012;3;71;5012
5023;3;1573;5024;3;1056;5024
5039;13;1754;5040;51;2417;5040
5051;7;2045;5052;7;2186;5052
5059;8;1725;5060;3;1662;5060
5087;2;1237;5088;11;2166;5088
5099;16;590;5100;22;2128;5100
5107;4;1754;5108;2;773;5108
5119;9;1932;5120;6;559;5120
5147;7;741;5148;2;1380;5148
5167;3;1250;5168;3;829;5168
5171;4;2424;5172;31;800;5172
5179;8;2333;5180;3;2087;5180
5227;5;1729;5228;2;485;5228
5231;4;1199;5232;13;585;5232
5279;10;761;5280;23;1792;5280
5303;3;1890;5304;46;2106;5304
5323;16;155;5324;2;1299;5324
5347;5;1522;5348;2;2268;5348
5351;5;2563;5352;11;2148;5352
5387;6;2253;5388;2;1603;5388
5399;4;1338;5400;14;2245;5400
5407;3;87;5408;3;2561;5408
5419;10;888;5420;3;786;5420
5431;9;694;5432;6;2327;5432
5443;4;40;5444;2;165;5444
5471;4;2598;5472;14;343;5472
5479;8;357;5480;11;1101;5480
5483;25;1017;5484;5;1042;5484
5503;3;430;5504;3;884;5504
5507;2;2635;5508;2;672;5508
5519;4;1896;5520;13;2443;5520
5527;3;1811;5528;3;2665;5528
5531;7;199;5532;6;307;5532
5563;5;2525;5564;2;543;5564
5591;15;2667;5592;23;1844;5592
5623;3;1590;5624;3;486;5624
5639;4;822;5640;31;1826;5640
5647;3;2064;5648;3;271;5648
5651;7;1000;5652;7;1593;5652
5659;6;2315;5660;3;1912;5660
5683;4;627;5684;2;727;5684
5711;6;2417;5712;31;2781;5712
5743;3;269;5744;3;461;5744
5779;11;1047;5780;3;2618;5780
5783;2;34;5784;5;437;5784
5791;13;281;5792;6;1278;5792
5807;2;1947;5808;10;1123;5808
5827;5;2835;5828;2;108;5828
5839;12;1804;5840;11;1953;5840
5843;2;2847;5844;2;1494;5844
5851;5;2420;5852;17;911;5852
5867;2;1910;5868;5;2180;5868
5879;11;2309;5880;11;1675;5880
5903;2;408;5904;15;1886;5904
5923;4;608;5924;2;606;5924
5927;2;2545;5928;10;819;5928
5939;4;2511;5940;6;110;5940
5987;2;1759;5988;2;279;5988
6007;3;2035;6008;3;2642;6008
6011;4;199;6012;6;1243;6012
6043;16;458;6044;2;2249;6044
6047;2;844;6048;15;1093;6048
6067;8;2133;6068;2;2116;6068
6079;8;201;6080;12;1606;6080
6091;9;496;6092;3;2327;6092
6131;4;921;6132;8;718;6132
6143;3;1916;6144;5;2009;6144
6151;8;2037;6152;12;2918;6152
6163;5;647;6164;2;430;6164
6199;10;1681;6200;6;1906;6200
6203;2;2287;6204;6;2508;6204
6211;5;2806;6212;3;79;6212
6247;3;2848;6248;3;250;6248
6263;2;1011;6264;17;2080;6264
6271;6;2189;6272;6;1994;6272
6287;3;2350;6288;17;2102;6288
6299;7;405;6300;8;2754;6300
6311;5;1757;6312;31;2181;6312
6323;2;3084;6324;7;114;6324
6343;3;1487;6344;3;3066;6344
6359;5;1757;6360;26;3010;6360
6367;3;468;6368;3;2489;6368
6379;15;2697;6380;3;1971;6380
6427;15;1828;6428;2;3144;6428
6451;5;697;6452;3;2752;6452
6491;4;2430;6492;7;570;6492
6547;6;2039;6548;2;2855;6548
6551;4;299;6552;17;1505;6552
6563;7;1726;6564;2;3071;6564
6571;6;3274;6572;3;2996;6572
6599;4;273;6600;13;476;6600
6607;8;1317;6608;3;3146;6608
6619;9;265;6620;3;2234;6620
6659;7;680;6660;7;1061;6660
6679;19;1014;6680;6;2976;6680
6691;5;1346;6692;3;985;6692
6703;3;2318;6704;3;2486;6704
6719;5;3171;6720;22;2385;6720
6763;4;646;6764;2;1655;6764
6779;6;2160;6780;8;404;6780
6791;9;371;6792;21;1365;6792
6803;2;438;6804;6;2382;6804
6823;3;1336;6824;3;1174;6824
6827;2;1111;6828;6;341;6828
6863;3;2037;6864;20;956;6864
6871;9;1406;6872;12;3201;6872
6883;10;1918;6884;2;352;6884
6899;4;1141;6900;7;2103;6900
6907;5;1995;6908;2;734;6908
6911;5;1873;6912;11;507;6912
6947;7;744;6948;2;507;6948
6959;9;2692;6960;21;1277;6960
6967;3;2382;6968;3;301;6968
6971;10;2262;6972;6;3187;6972
6983;2;1969;6984;13;2389;6984
6991;6;865;6992;6;2043;6992
7019;9;2331;7020;10;1226;7020
7027;4;3359;7028;2;2882;7028
7039;9;1395;7040;12;1492;7040
7043;2;2748;7044;2;1348;7044
7079;20;3296;7080;14;2625;7080
7103;2;3384;7104;5;2409;7104
7127;2;2426;7128;14;362;7128
7151;20;486;7152;17;2190;7152
7159;6;1388;7160;6;661;7160
7187;7;2128;7188;2;917;7188
7207;3;2650;7208;3;1239;7208
7211;4;373;7212;10;1880;7212
7219;5;2020;7220;10;3203;7220
7243;12;3541;7244;2;2312;7244
7247;2;2403;7248;5;2748;7248
7283;2;3270;7284;5;2802;7284
7307;7;1974;7308;2;1088;7308
7331;9;1086;7332;6;122;7332
7351;9;2078;7352;11;1565;7352
7411;5;2571;7412;3;502;7412
7451;4;1395;7452;6;2527;7452
7459;5;3015;7460;7;2452;7460
7487;6;2182;7488;17;3393;7488
7499;9;2548;7500;13;3555;7500
7507;4;2877;7508;2;2117;7508
7523;2;1689;7524;2;368;7524
7547;19;3736;7548;2;1849;7548
7559;5;3337;7560;13;2758;7560
7583;2;2754;7584;15;3083;7584
7591;6;3265;7592;6;3206;7592
7603;6;391;7604;2;195;7604
7607;2;324;7608;5;2493;7608
7639;9;2476;7640;6;843;7640
7643;7;544;7644;2;2589;7644
7687;3;1750;7688;3;1980;7688
7691;6;2305;7692;6;3532;7692
7699;5;2253;7700;21;958;7700
7703;3;3142;7704;10;3405;7704
7723;4;319;7724;2;2680;7724
7727;3;2645;7728;5;1991;7728
7759;8;378;7760;13;3232;7760
7823;2;767;7824;10;1545;7824
7867;10;1678;7868;2;595;7868
7879;19;802;7880;11;2810;7880
7883;7;253;7884;2;804;7884
7907;7;1718;7908;5;966;7908
7919;4;595;7920;13;2444;7920
7927;3;2940;7928;3;3791;7928
7951;8;3856;7952;11;3333;7952
7963;4;3571;7964;2;3575;7964
8011;5;314;8012;3;2640;8012
8039;5;3924;8040;31;3810;8040
8059;5;690;8060;7;1938;8060
8087;2;2852;8088;10;769;8088
8111;6;3579;8112;11;749;8112
8123;2;2230;8124;2;1074;8124
8147;2;2322;8148;2;2673;8148
8167;3;140;8168;3;3662;8168
8171;7;1934;8172;6;373;8172
8179;6;2834;8180;3;1829;8180
8191;10;3344;8192;6;3636;8192
8219;10;1307;8220;6;3761;8220
8231;4;188;8232;13;1923;8232
8243;2;3668;8244;2;1809;8244
8263;3;1936;8264;3;1139;8264
8287;3;1752;8288;3;804;8288
8291;4;153;8292;14;3103;8292
8311;9;2064;8312;6;884;8312
8363;2;3805;8364;5;3627;8364
8387;2;3303;8388;2;2864;8388
8419;6;946;8420;8;936;8420
8423;2;1232;8424;10;4086;8424
8431;8;1794;8432;6;1542;8432
8443;4;2242;8444;2;2628;8444
8447;2;2550;8448;30;689;8448
8467;5;4104;8468;2;2438;8468
8527;3;916;8528;3;3574;8528
8539;6;421;8540;3;3370;8540
8543;2;405;8544;5;3171;8544
8563;4;3146;8564;2;2261;8564
8599;6;3040;8600;17;354;8600
8623;3;936;8624;3;1280;8624
8627;7;2767;8628;2;4233;8628
8647;3;3491;8648;3;2100;8648
8663;2;560;8664;14;3270;8664
8699;8;3465;8700;8;3659;8700
8707;4;2112;8708;2;132;8708
8719;19;102;8720;6;337;8720
8731;9;3690;8732;3;2509;8732
8747;6;123;8748;6;4014;8748
8779;5;45;8780;3;2297;8780
8783;2;1378;8784;17;4013;8784
8803;4;3191;8804;2;2160;8804
8807;3;711;8808;20;3851;8808
8819;7;4027;8820;6;2577;8820
8831;25;2273;8832;42;3935;8832
8839;19;3827;8840;30;2985;8840
8863;3;1740;8864;3;3901;8864
8867;7;831;8868;5;2680;8868
8887;3;4407;8888;3;3623;8888
8923;10;3363;8924;2;2108;8924
8951;5;2589;8952;29;1571;8952
8963;7;2829;8964;2;913;8964
8971;5;1288;8972;3;4279;8972
8999;19;1231;9000;11;1638;9000
9007;3;1428;9008;3;875;9008
9011;7;174;9012;6;1263;9012
9043;12;1259;9044;2;2900;9044
9059;7;2774;9060;8;2912;9060
9067;4;4358;9068;2;404;9068
9091;5;1453;9092;3;4205;9092
9103;3;3953;9104;3;3525;9104
9127;8;607;9128;3;4437;9128
9151;10;1735;9152;14;1728;9152
9187;4;3730;9188;2;2773;9188
9199;9;1389;9200;6;4173;9200
9203;2;4508;9204;2;3113;9204
9227;2;749;9228;2;3004;9228
9239;11;1358;9240;58;4103;9240
9283;5;3207;9284;5;2364;9284
9311;4;4187;9312;17;3243;9312
9319;9;3064;9320;12;2960;9320
9323;2;886;9324;2;3342;9324
9343;3;4166;9344;3;2242;9344
9371;8;3844;9372;8;1620;9372
9391;10;4116;9392;13;3634;9392
9403;5;3344;9404;2;3971;9404
9419;13;2590;9420;11;2299;9420
9431;11;3696;9432;11;1486;9432
9439;17;938;9440;12;848;9440
9463;3;3400;9464;11;2488;9464
9467;7;4062;9468;5;351;9468
9479;4;3703;9480;28;1311;9480
9491;6;92;9492;10;2766;9492
9511;6;593;9512;6;2916;9512
9539;7;2658;9540;29;2050;9540
9547;4;773;9548;2;1698;9548
9551;4;1838;9552;11;2698;9552
9587;10;3250;9588;2;1429;9588
9619;11;3463;9620;3;1005;9620
9623;2;786;9624;10;2478;9624
9631;8;759;9632;12;1505;9632
9643;5;2952;9644;2;947;9644
9679;6;1983;9680;6;2282;9680
9719;4;3837;9720;26;3937;9720
9739;14;4521;9740;3;3016;9740
9743;2;3025;9744;20;193;9744
9767;12;3657;9768;19;3443;9768
9787;4;1293;9788;2;1523;9788
9791;5;4850;9792;11;603;9792
9803;2;4805;9804;5;4815;9804
9811;5;2714;9812;3;1563;9812
9839;5;4082;9840;11;4205;9840
9851;13;1734;9852;7;101;9852
9859;6;4774;9860;3;3923;9860
9871;13;1339;9872;6;3170;9872
9883;4;4824;9884;2;878;9884
9887;3;4905;9888;5;2405;9888
9907;5;3242;9908;2;3422;9908
9923;2;2210;9924;2;2524;9924
9931;5;1171;9932;11;1167;9932
9967;3;3728;9968;3;4059;9968
1019;2;40;1056;2;415;1056
1031;2;161;992;7;177;992
1039;3;428;1060;6;197;1060
1051;5;459;1024;2;117;1024
1063;3;186;1108;5;434;1108
1087;4;113;1116;10;416;1116
1091;10;447;1040;10;128;1040
1103;2;71;1152;5;301;1152
1123;4;275;1140;2;296;1140
1151;4;246;1152;13;290;1152
1163;7;544;1152;2;160;1152
1171;11;20;1216;8;313;1216
1187;16;507;1152;2;379;1152
1223;8;463;1248;10;85;1248
1231;3;312;1212;12;276;1212
1259;22;320;1200;24;470;1200
1279;9;41;1228;3;179;1228
1283;19;173;1296;6;503;1296
1291;8;77;1336;8;438;1336
1303;4;420;1332;3;177;1332
1307;7;77;1280;5;115;1280
1319;6;134;1328;13;582;1328
1327;3;588;1324;3;357;1324
1367;2;556;1344;10;62;1344
1399;6;54;468;15;262;468
1423;6;36;1460;3;489;1460
1427;11;368;1488;5;662;1488
1439;2;632;1488;11;147;1488
1447;3;268;1452;5;295;1452
1451;2;191;1504;2;54;1504
1459;5;142;1432;3;604;1432
1471;9;552;1468;6;592;1468
1483;4;145;1412;2;508;1412
1487;7;412;1424;13;277;1424
1499;2;308;1520;2;591;1520
1511;8;559;1552;23;423;1552
1523;2;177;1488;2;646;1488
1531;5;677;1520;3;124;1520
1543;11;82;1540;3;40;1540
1559;10;625;1520;17;682;1520
