Field characteristic;Edwards Curve P_x;Edwards Curve P_y;Edwards Curve Point Order;Montgomery Curve P_x;Montgomery Curve P_y;Montgomery Curve Point Order
4451;6;157;4576;13;1039;4576
4463;2;303;4368;19;1375;4368
4483;4;932;1452;8;119;1452
4507;5;1807;4604;3;470;4604
4519;14;1176;4476;3;1394;4476
4523;2;1177;4480;2;1746;4480
4547;2;1647;4640;2;2074;4640
4567;3;1312;4636;3;68;4636
4583;7;637;4672;10;155;4672
4591;8;2027;4564;3;934;4564
4603;5;883;4708;2;1121;4708
4639;8;1271;4548;15;1379;4548
4643;2;1919;4688;2;1337;4688
4651;21;905;4536;8;2045;4536
4663;3;183;4676;5;2129;4676
4679;4;294;4784;11;1414;4784
4691;2;1891;4704;2;924;4704
4703;10;1958;4640;15;427;4640
4723;5;882;4804;2;1800;4804
4751;6;705;4816;13;109;4816
4759;3;1135;4812;12;495;4812
4783;4;2256;4660;5;1972;4660
4787;10;429;4800;20;402;4800
4799;4;1191;4896;7;871;4896
4831;9;1597;4732;14;379;4732
4871;4;2095;4912;11;480;4912
4903;3;362;4964;3;1728;4964
4919;4;947;4864;17;539;4864
4931;8;926;4832;8;2234;4832
4943;2;1158;4912;5;1880;4912
4951;9;1496;4972;3;2339;4972
4967;2;511;5040;5;1290;5040
4987;19;1502;4908;5;2356;4908
4999;17;533;4884;3;1151;4884
5003;7;428;4880;6;174;4880
5011;5;1196;1680;10;1990;1680
5023;3;1474;5060;6;2416;5060
5039;6;305;4992;11;1513;4992
5051;2;1357;5008;2;573;5008
5059;5;2127;5096;2;746;5096
5087;8;1309;5088;10;1743;5088
5099;14;786;5136;6;2430;5136
5107;5;186;5116;2;2279;5116
5119;3;1142;5100;3;1210;5100
5147;2;1759;5104;5;492;5104
5167;3;725;5260;6;543;5260
5171;14;1616;5184;6;1231;5184
5179;8;125;5072;2;161;5072
5227;8;1438;5356;8;517;5356
5231;2;2516;5264;7;1861;5264
5279;2;578;5296;7;1615;5296
5303;2;396;5200;11;1996;5200
5323;8;109;5460;20;587;5460
5347;5;1538;5436;11;2526;5436
5351;6;2595;5376;13;1139;5376
5387;2;92;5472;2;367;5472
5399;2;2191;5456;11;2030;5456
5407;3;1444;5468;3;1704;5468
5419;5;535;5424;2;1416;5424
5431;3;865;5340;23;2436;5340
5443;4;1807;5380;3;1280;5380
5471;2;1850;5392;11;687;5392
5479;9;93;5460;11;1851;5460
5483;2;815;5408;2;597;5408
5503;14;1577;5460;7;211;5460
5507;23;1970;5488;5;235;5488
5519;4;1115;5536;13;2627;5536
5527;6;2637;5548;3;1332;5548
5531;9;2154;5680;2;2019;5680
5563;4;2076;5428;5;1722;5428
5591;4;742;5552;11;2022;5552
5623;10;1398;5572;5;2745;5572
5639;9;307;5568;17;2301;5568
5647;8;1723;5756;3;2577;5756
5651;2;1298;5728;2;2579;5728
5659;11;1904;5600;10;1139;5600
5683;8;2093;5700;8;2571;5700
5711;4;1852;5744;29;287;5744
5743;18;337;5796;3;874;5796
5779;9;2767;5640;2;1067;5640
5783;5;2566;5808;17;1168;5808
5791;12;959;1980;3;1641;1980
5807;2;768;5840;5;202;5840
5827;4;2613;5836;12;2169;5836
5839;9;1951;5876;3;692;5876
5843;8;64;5760;6;1073;5760
5851;5;361;5960;10;2338;5960
5867;2;1231;5936;2;383;5936
5879;11;730;5856;17;253;5856
5903;2;1454;5808;10;175;5808
5923;4;1378;5860;5;1024;5860
5927;13;2643;5904;23;1173;5904
5939;4;1445;5872;8;488;5872
5987;2;590;5904;2;1959;5904
6007;17;2937;6060;7;439;6060
6011;4;867;6064;10;292;6064
6043;4;512;6004;2;1988;6004
6047;7;2306;5936;5;2705;5936
6067;4;2248;6076;3;976;6076
6079;9;1165;6116;6;1726;6116
6091;5;2170;2040;2;2627;2040
6131;6;1857;6144;6;1068;6144
6143;2;2693;6016;5;1735;6016
6151;15;74;6132;6;2970;6132
6163;8;260;6164;2;451;6164
6199;16;1860;6300;6;1661;6300
6203;2;2852;6240;6;1618;6240
6211;5;173;6104;3;1828;6104
6247;3;2931;6172;5;1306;6172
6263;17;1132;6288;5;2722;6288
6271;6;2447;6188;3;1272;6188
6287;2;310;6400;7;1096;6400
6299;6;1596;6304;6;1728;6304
6311;2;432;6416;13;2495;6416
6323;2;85;6416;2;2552;6416
6343;3;2850;6324;3;80;6324
6359;6;563;6432;29;923;6432
6367;4;2771;6268;5;1930;6268
6379;5;2258;6424;3;2030;6424
6427;4;1585;2148;2;300;2148
6451;22;1387;6552;11;899;6552
6491;2;2115;6432;2;114;6432
6547;4;1398;6428;3;632;6428
6551;13;527;6496;17;226;6496
6563;6;2171;6608;2;380;6608
6571;8;1492;6624;11;2951;6624
6599;4;1556;6688;13;1348;6688
6607;3;2622;6524;5;784;6524
6619;5;818;6576;3;3132;6576
6659;4;1872;6624;2;1544;6624
6679;3;136;6676;6;375;6676
6691;16;570;6768;21;800;6768
6703;17;219;6708;7;1392;6708
6719;7;496;6624;37;1769;6624
6763;4;1980;6692;2;1258;6692
6779;6;2509;6816;8;840;6816
6791;5;2927;6640;11;2154;6640
6803;8;1711;6672;5;1983;6672
6823;4;580;6900;5;1787;6900
6827;2;692;6672;2;1443;6672
6863;8;649;6960;20;1012;6960
6871;9;2268;6924;13;2053;6924
6883;10;1947;6900;13;3320;6900
6899;27;762;6960;2;2339;6960
6907;4;3260;6908;5;1603;6908
6911;2;1941;6912;11;1907;6912
6947;7;2628;6816;6;607;6816
6959;2;1374;6816;34;2690;6816
6967;6;196;7084;5;2221;7084
6971;4;1556;6896;10;2433;6896
6983;5;402;7008;5;3244;7008
6991;3;2700;6860;21;1511;6860
7019;30;1980;7056;14;1861;7056
7027;4;2122;7036;2;2314;7036
7039;9;3170;7084;6;266;7084
7043;19;273;1008;2;1091;1008
7079;2;2588;7040;7;404;7040
7103;7;1043;7120;5;2201;7120
7127;2;361;7120;5;1272;7120
7151;4;766;7008;14;2150;7008
7159;3;785;7284;3;85;7284
7187;7;335;7312;6;3452;7312
7207;13;610;7372;3;3103;7372
7211;14;3145;7056;2;85;7056
7219;16;2257;7160;8;3282;7160
7243;4;668;7252;3;417;7252
7247;2;91;7360;10;2344;7360
7283;8;1426;7392;8;2735;7392
7307;8;1859;7168;6;210;7168
7331;4;1687;7296;6;2267;7296
7351;14;494;7316;3;500;7316
7411;5;1451;7432;3;3398;7432
7451;6;1847;7504;8;930;7504
7459;15;336;7456;8;2135;7456
7487;2;185;7504;5;123;7504
7499;2;506;7376;2;433;7376
7507;22;3515;7564;2;1389;7564
7523;8;824;7664;6;3428;7664
7547;6;1701;7616;5;275;7616
7559;4;316;7456;17;3055;7456
7583;2;664;7536;5;2875;7536
7591;3;1043;7436;11;2582;7436
7603;15;3759;7604;7;90;7604
7607;7;384;7552;10;1792;7552
7639;9;3689;7484;3;2072;7484
7643;18;2661;7744;8;1031;7744
7687;4;1184;7596;7;1140;7596
7691;7;2851;7728;14;796;7728
7699;5;1421;7792;3;809;7792
7703;7;2303;7584;33;1882;7584
7723;4;2036;7796;2;2604;7796
7727;7;1319;7696;5;2866;7696
7759;8;867;7788;3;3123;7788
7823;2;887;7680;14;742;7680
7867;20;3366;7836;8;2983;7836
7879;13;2470;7956;6;1908;7956
7883;2;1162;8016;2;3518;8016
7907;2;2604;7984;2;89;7984
7919;5;1365;8016;13;2704;8016
7927;3;2894;7996;3;1774;7996
7951;9;3278;8012;3;520;8012
7963;4;2193;8052;22;493;8052
8011;13;2577;7928;8;1797;7928
8039;6;211;8016;31;2700;8016
8059;5;1396;8080;3;284;8080
8087;5;163;8176;14;3550;8176
8111;4;2519;8080;11;2913;8080
8123;16;2241;8160;5;2410;8160
8147;46;2194;8160;31;2718;8160
8167;4;3152;8236;10;1415;8236
8171;7;2696;8304;2;424;8304
8179;5;61;8176;2;128;8176
8191;3;1111;8228;6;873;8228
8219;2;1457;8320;2;2496;8320
8231;6;2720;8160;19;2235;8160
8243;2;2780;8192;2;642;8192
8263;3;2944;8196;5;1502;8196
8287;4;3549;8364;10;3598;8364
8291;4;1474;8352;8;1326;8352
8311;3;3920;8268;14;142;8268
8363;18;1364;8304;6;4029;8304
8387;2;166;8528;2;2839;8528
8419;9;72;8352;13;2423;8352
8423;25;3284;8400;7;4058;8400
8431;9;2184;8548;3;2842;8548
8443;4;979;8340;8;990;8340
8447;10;420;8496;46;2819;8496
8467;6;2855;8412;8;2686;8412
8527;3;3455;8668;6;4140;8668
8539;9;3552;8376;13;2120;8376
8543;7;3158;8688;5;1264;8688
8563;14;3669;8436;2;873;8436
8599;14;2333;8700;6;2214;8700
8623;3;1532;8548;3;3202;8548
8627;7;2998;8560;5;4190;8560
8647;6;3522;8668;10;3535;8668
8663;2;199;8592;10;922;8592
8699;7;3716;8640;6;4194;8640
8707;4;4256;8668;3;1493;8668
8719;3;1113;8716;7;4067;8716
8731;5;189;8712;2;209;8712
8747;7;1298;8640;2;1406;8640
8779;28;1262;2952;12;1057;2952
8783;13;995;8736;11;3124;8736
8803;4;2480;8708;2;539;8708
8807;2;4308;8944;13;481;8944
8819;7;2096;8880;6;808;8880
8831;2;3857;8912;11;4029;8912
8839;3;4067;8788;6;1265;8788
8863;4;4206;9012;3;1374;9012
8867;8;4063;8736;6;3664;8736
8887;3;4178;9004;6;3912;9004
8923;4;2137;9044;5;3490;9044
8951;6;2030;8784;41;2485;8784
8963;14;3239;8976;5;3034;8976
8971;5;1341;9096;17;813;9096
8999;2;2778;9024;44;3272;9024
9007;17;10;9020;3;465;9020
9011;2;3355;8976;6;1753;8976
9043;4;4393;9076;2;3945;9076
9059;10;1201;8928;8;1960;8928
9067;12;1707;9228;2;857;9228
9091;8;2018;9016;10;3839;9016
9103;3;3780;9060;12;1219;9060
9127;3;1169;3012;3;2675;3012
9151;3;3150;9204;7;1800;9204
9187;5;2019;9132;5;3232;9132
9199;9;1727;9156;3;2166;9156
9203;8;3310;9120;8;1659;9120
9227;2;1659;9248;2;2705;9248
9239;8;2212;9264;29;343;9264
9283;6;2291;9380;3;4034;9380
9311;2;3745;9392;7;3295;9392
9319;9;3677;9316;14;1744;9316
9323;7;977;9280;8;4344;9280
9343;11;1455;9444;11;4417;9444
9371;4;1599;9504;6;973;9504
9391;9;2654;9484;12;4241;9484
9403;14;107;9412;2;2393;9412
9419;2;4272;9376;2;812;9376
9431;2;3085;9440;13;1967;9440
9439;3;2827;9308;3;2777;9308
9463;14;1010;9620;3;2059;9620
9467;21;2226;9424;14;355;9424
9479;2;3119;9536;7;3724;9536
9491;20;4055;9472;6;4371;9472
9511;6;3924;9540;15;2212;9540
9539;23;4596;9600;26;3679;9600
9547;5;3034;9516;5;4142;9516
9551;8;2472;9520;37;2885;9520
9587;2;4738;9536;2;4043;9536
9619;11;3686;9584;10;905;9584
9623;15;2478;9728;11;1342;9728
9631;14;2226;9492;6;2800;9492
9643;31;4755;9492;7;1460;9492
9679;9;1389;9556;12;4643;9556
9719;7;769;9600;23;4319;9600
9739;9;3783;9688;2;2063;9688
9743;7;3067;9856;13;3841;9856
9767;2;4106;9680;5;1984;9680
9787;5;536;9852;5;343;9852
9791;7;2209;9792;11;3493;9792
9803;8;1502;9904;5;1354;9904
9811;5;3248;9952;3;1913;9952
9839;2;608;9824;7;2731;9824
9851;2;4392;9824;2;1950;9824
9859;8;4718;9800;2;2668;9800
9871;3;496;10044;3;4567;10044
9883;22;1335;9780;2;372;9780
9887;13;4107;9888;11;2119;9888
9907;6;3773;10044;5;1605;10044
9923;24;3281;10080;2;4238;10080
9931;13;4949;9872;8;1241;9872
9967;15;2545;9900;3;3056;9900
