Montgomery Curve - Initialization Time (s);Montgomery Curve - Signature Time (s);Montgomery Curve - Verification Time (s);Edwards Curve - Initialization Time (s);Edwards Curve - Signature Time (s);Edwards Curve - Verification Time (s);Twisted Edwards Curve - Initialization Time (s);Twisted Edwards Curve - Signature Time (s);Twisted Edwards Curve - Verification Time (s)
0.38343;0.35906;0.7968;0.28082;0.28809;0.24583;0.28604;0.26655;0.23881
0.349;0.33774;0.77061;0.28604;0.28206;0.24119;0.28707;0.27953;0.23688
0.34026;0.35628;0.79181;0.28645;0.27144;0.23693;0.27712;0.28349;0.23813
0.36603;0.34716;0.78712;0.26943;0.27517;0.23638;0.30118;0.28476;0.23806
0.35076;0.35656;0.77615;0.26885;0.2805;0.23939;0.28081;0.28296;0.23859
0.3442;0.35318;0.79418;0.26941;0.27083;0.24088;0.27637;0.27001;0.23772
0.36995;0.36868;0.77696;0.27918;0.27138;0.26733;0.32472;0.31281;0.26005
0.39534;0.36034;0.80381;0.31671;0.26235;0.23837;0.28661;0.29039;0.26604
0.38032;0.35566;0.79214;0.28441;0.27135;0.24028;0.28515;0.28095;0.23871
0.35828;0.40099;0.90011;0.27949;0.28516;0.24674;0.27511;0.28008;0.23756
0.36187;0.33578;0.7851;0.29455;0.26224;0.25494;0.28951;0.26672;0.23919
0.36261;0.34114;0.7708;0.27051;0.2832;0.2384;0.30578;0.28371;0.25061
0.3552;0.342;0.81;0.28716;0.3044;0.26298;0.29913;0.27243;0.26174
0.38433;0.34276;0.80772;0.29138;0.28115;0.26829;0.27601;0.2854;0.25399
0.35236;0.35456;0.81893;0.27066;0.288;0.24408;0.28303;0.26269;0.23867
0.37435;0.33746;0.78601;0.28398;0.28326;0.24329;0.29504;0.27583;0.24113
0.35744;0.35858;0.7959;0.26715;0.26887;0.23981;0.31214;0.28822;0.24211
0.35712;0.36757;0.77116;0.28966;0.28219;0.25333;0.30525;0.28279;0.24153
0.35225;0.34082;0.81833;0.27576;0.27574;0.25584;0.2959;0.2886;0.23753
0.36552;0.37499;0.80357;0.29683;0.2924;0.25335;0.2799;0.28144;0.23889
0.35468;0.35492;0.81925;0.27263;0.28387;0.25772;0.26676;0.28576;0.23874
0.35205;0.35013;0.81949;0.27078;0.306;0.25003;0.29074;0.28305;0.24378
0.36729;0.34334;0.80364;0.29008;0.29268;0.25142;0.27847;0.28021;0.23889
0.35184;0.34462;0.77002;0.27991;0.2745;0.24722;0.28303;0.30221;0.25753
0.35095;0.36857;0.77081;0.27025;0.28535;0.25423;0.28493;0.28549;0.23985
0.36733;0.35418;0.78978;0.2861;0.28757;0.25656;0.27445;0.27737;0.24169
0.36373;0.35145;0.81309;0.28058;0.26797;0.2475;0.28731;0.26878;0.23935
0.34593;0.34319;0.78308;0.28482;0.26921;0.25826;0.28477;0.30132;0.25618
0.37161;0.41138;0.82225;0.28198;0.28228;0.24848;0.29487;0.29506;0.23699
0.35845;0.37657;0.8646;0.32172;0.42016;0.24228;0.3;0.27674;0.24738
0.37876;0.35487;0.84484;0.28461;0.28096;0.25439;0.27363;0.28238;0.27514
0.41488;0.39234;0.80323;0.31148;0.27871;0.2457;0.27239;0.29334;0.24329
0.36369;0.3746;0.80499;0.2862;0.27172;0.23867;0.28046;0.29504;0.24478
0.34532;0.35635;1.00597;0.30287;0.27722;0.24301;0.28756;0.28801;0.2427
0.36117;0.42758;0.78839;0.27778;0.27132;0.2414;0.28637;0.27993;0.24087
0.3424;0.35068;0.89;0.27847;0.27793;0.23831;0.32114;0.2893;0.24428
0.36114;0.35796;0.83915;0.27654;0.29029;0.24323;0.29534;0.27796;0.25242
0.35865;0.36247;0.77928;0.28532;0.27399;0.24312;0.29708;0.29957;0.27473
0.36219;0.3382;0.82543;0.2778;0.29072;0.23797;0.28168;0.29107;0.2382
0.36065;0.36972;0.81328;0.27762;0.28134;0.25072;0.27588;0.28247;0.24384
0.34687;0.35499;0.81143;0.28103;0.2805;0.24117;0.28797;0.27897;0.23878
0.39571;0.34906;0.796;0.28782;0.27227;0.24508;0.29388;0.29884;0.24019
0.35976;0.34493;0.81582;0.28615;0.28176;0.25874;0.27755;0.28389;0.24237
0.34548;0.35495;0.79248;0.27822;0.28067;0.26214;0.30535;0.27241;0.24554
0.37365;0.35347;0.79468;0.27832;0.29026;0.27743;0.307;0.2801;0.24053
0.37083;0.35722;0.79909;0.26558;0.30716;0.27089;0.27624;0.26981;0.24964
0.35931;0.33997;0.79272;0.27204;0.27346;0.25035;0.28475;0.28135;0.23878
0.34777;0.35503;0.81172;0.32222;0.2917;0.24823;0.27741;0.28789;0.23973
0.36392;0.36825;0.75726;0.28084;0.28687;0.2515;0.28652;0.28694;0.23661
0.34546;0.35385;0.7954;0.27941;0.28323;0.24832;0.27909;0.26328;0.23833
0.3571;0.3546;0.797;0.27765;0.27475;0.2571;0.28749;0.28005;0.24357
0.36723;0.35082;0.77715;0.28126;0.28521;0.2472;0.28185;0.27545;0.23999
0.35901;0.35796;0.79285;0.28971;0.28073;0.24161;0.27381;0.28993;0.24703
0.3615;0.35923;0.77511;0.27493;0.27137;0.24241;0.27467;0.2762;0.24745
0.37277;0.36063;0.7843;0.28347;0.27965;0.25538;0.27239;0.28199;0.24017
